no,title,link
0, 여름 대작 피했더니 9월에 6편 몰린 한국영화… ‘공멸’ 잔혹사 끊을까 [영화 뷰] ,http://v.daum.net/v/20260812082840601
1," [단독] 염정아, 스릴러 영화 '투피스'서 문가영과 만난다! 꿈의 조합 완성 ",http://v.daum.net/v/20260813065649908
2," '오디세이' 봤다면, 이 영화도 함께 보세요 ",http://v.daum.net/v/20260811160736520
3," 다대포 바다, 영화로 물든다…제4회 다대포선셋영화축제 14일 개막 ",http://v.daum.net/v/20260813101444334
4," “우리 증조부도 매국노, 조상 업보 청산중”…영화 ‘암살’ 이경영 후손의 고백 ",http://v.daum.net/v/20260813094909942
5," 김도훈·전종서·이준기, '도차비' 출연…넷플릭스 사극 영화 ",http://v.daum.net/v/20260813092302734
6, 7일 만에 예고편 '1000만'→1761만 국민 배우 자존심 건 韓 영화 ,http://v.daum.net/v/20260813091134224
7, 여름엔 할리우드 대작…韓 영화는 9월 승부수 [SS무비] ,http://v.daum.net/v/20260813063159578
8," 터치드, ‘HIGHLIGHT IV’ 실황 영화 프리미어 상영회 25일 개최 ",http://v.daum.net/v/20260813095040995
9, 다대포선셋영화축제 15일 개막… 최다니엘·김규리 레드카펫 선다 ,http://v.daum.net/v/20260813095329129
10," ""영화 '암살' 이경영이 내 증조부"" 고백한 간호사…하영에 ""스스로 고민했어야"" 일침 ",http://v.daum.net/v/20260813075440862
11, 9월 준공 앞둔 부산기장촬영소…영화·관광 연계 시동 ,http://v.daum.net/v/20260813084312164
12, “나도 매국노 집안”…영화 ‘암살’ 속 이경영 역 후손의 고백 [라이프+] ,http://v.daum.net/v/20260813084009085
13, 양산 주민 손으로 영화 만든다…부산국제영화제서 상영 ,http://v.daum.net/v/20260813084256157
14, 노들섬 ‘모기장 극장’서 강바람 쐬며 영화보세요 ,http://v.daum.net/v/20260813043328779
15, 백범 부인 최준례 여사·‘中 영화황제’ 항일배우 김덕린 선생 애족장…광복절 독립유공자 283명 포상 ,http://v.daum.net/v/20260813090609012
16," ""영화 '암살' 친일파가 내 조부""...'매국노 집안' 고백 글 화제 ",http://v.daum.net/v/20260813074650708
17," 머스트크리에이티브 제작 '폼페이: 버닝 사일런스', 할리우드 골드 어워즈 'AI 영화' 금상 쾌거 ",http://v.daum.net/v/20260812164212983
18," 20초만에 매진 ‘화엄사 모기장영화음악회’, 700명 관객 성황 ",http://v.daum.net/v/20260812135609558
19," '스파이더맨'은 대박, '슈퍼걸'은 고전…'여성 히어로'는 왜 안 통할까 [영화있슈] ",http://v.daum.net/v/20260812153538627
20," ""영화제가 끝 아니다"" 예천 스마트폰영화 수상작 OTT 진출 ",http://v.daum.net/v/20260813085852689
21, 기획부터 배급까지 ‘전주’···독립영화 ‘빈집의 연인들’ 전국 개봉 ,http://v.daum.net/v/20260812131215078
22, 피 한 방울 없이 세상 무서운 공포영화 '위커 맨' ,http://v.daum.net/v/20260812122602165
23, 강시로부터 살아남아라…영화 '강시: 공포의 워크샵' 크랭크인 ,http://v.daum.net/v/20260812093812401
24," 제천복지재단, 사회복지종사자 위한단체 영화관람 진행 ",http://v.daum.net/v/20260813100833994
25, ‘산양들’ 박정민도 극찬한 독립영화 ,http://v.daum.net/v/20260812071327075
26," 엄정화, 스크린 복귀 성공적…'오케이 마담2', 한국영화 박스오피스 1위 등극 ",http://v.daum.net/v/20260813085936716
27, '다대포선셋영화축제' 14일 개막…레드카펫·바스킹 다채 ,http://v.daum.net/v/20260813102941095
28," 홍콩영화 세계적 반영 올린 허안화 감독, 올해 부국제 까멜리아상 ",http://v.daum.net/v/20260811151336531
29, “영화 찍고 기장에 머문다”… 기장군 ‘영화도시’ 시동 ,http://v.daum.net/v/20260811145750613
