token,경주빈도,전주빈도,빈도합,경주비율,전주비율
한옥마을,0,323,323,0.0,100.0
일상,306,0,306,100.0,0.0
고고학,302,0,302,100.0,0.0
알라딘,141,55,196,71.9,28.1
맛집,40,155,195,20.5,79.5
코스,79,88,167,47.3,52.7
공원,10,138,148,6.8,93.2
한옥,35,103,138,25.4,74.6
마을,40,89,129,31.0,69.0
자평,116,10,126,92.1,7.9
시간,47,77,124,37.9,62.1
투어,64,59,123,52.0,48.0
박물관,17,105,122,13.9,86.1
지음,99,20,119,83.2,16.8
평점,93,20,113,82.3,17.7
역사,81,30,111,73.0,27.0
카페,45,61,106,42.5,57.5
불국사,100,0,100,100.0,0.0
고양이,99,0,99,100.0,0.0
경북,94,0,94,100.0,0.0
황윤,94,0,94,100.0,0.0
시리즈,94,0,94,100.0,0.0
개정,89,0,89,100.0,0.0
증보판,89,0,89,100.0,0.0
덕진,0,80,80,0.0,100.0
비빔밥,0,80,80,0.0,100.0
완산,0,80,80,0.0,100.0
황리,80,0,80,100.0,0.0
호텔,55,20,75,73.3,26.7
야경,71,0,71,100.0,0.0
추천,26,41,67,38.8,61.2
첨성대,65,0,65,100.0,0.0
조선,0,65,65,0.0,100.0
전북,0,65,65,0.0,100.0
이야기,51,13,64,79.7,20.3
체험,10,51,61,16.4,83.6
사진,23,37,60,38.3,61.7
구경,20,40,60,33.3,66.7
시장,5,54,59,8.5,91.5
생각,36,22,58,62.1,37.9
가을,42,15,57,73.7,26.3
한국,5,51,56,8.9,91.1
연꽃,1,55,56,1.8,98.2
신라,55,0,55,100.0,0.0
가족,25,30,55,45.5,54.5
방문,21,32,53,39.6,60.4
산책,15,37,52,28.8,71.2
대릉원,52,0,52,100.0,0.0
거리,25,26,51,49.0,51.0
이번,24,27,51,47.1,52.9
버스,31,20,51,60.8,39.2
문화,5,46,51,9.8,90.2
석굴암,50,0,50,100.0,0.0
필수,5,45,50,10.0,90.0
점심,30,18,48,62.5,37.5
우리,36,10,46,78.3,21.7
본향,0,45,45,0.0,100.0
시작,30,15,45,66.7,33.3
벚꽃,35,10,45,77.8,22.2
서울,20,25,45,44.4,55.6
터미널,17,27,44,38.6,61.4
식당,5,38,43,11.6,88.4
오늘,35,7,42,83.3,16.7
숙소,25,17,42,59.5,40.5
